trait,largest_class_fraction,macro_f1_mean,accuracy_mean,mae_mean,trait_short
CUDI_CODE_REPRO,0.6418918918918919,0.6390679399288441,0.6867724867724867,0.31322751322751324,CUDI
CULT_CODE_REPRO,0.25408719346049047,0.2181422663546656,0.29914529914529914,0.9700854700854702,CULT
CUNO_CODE_REPRO,0.7786103542234333,0.29942974984572884,0.731629392971246,0.268370607028754,CUNO
CUST_REPRO,0.2967171717171717,0.12952629966142928,0.20784313725490197,2.152941176470588,CUST
LLT_CODE,0.532016348773842,0.291051088011337,0.5207667731629394,0.5079872204472843,LLT
PLT_CODE_POST,0.8019125683060109,0.3931247695635683,0.8220793140407289,0.18220793140407288,PLT
PSH,0.8606403013182674,0.3386596871320083,0.8097345132743362,0.2079646017699115,PSH
PTH,0.4276689829437776,0.44966480206109055,0.49459193706981314,0.5299901671583088,PTH
SDHT_CODE,0.7378839590443687,0.3611324075262694,0.7199148029818957,0.28328008519701814,SDHT
SPKF,0.7222222222222222,0.17177931016028505,0.6941176470588236,0.3196078431372549,SPKF
