split,method,seeds,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd,mae_mean,mae_sd,majority_accuracy,majority_mae,region,region_label,method_short
region_leaveout_Southeast_Asia,LightGBM,42,0.2628049381460479,0,0.6130265166864711,0,0.6319341236772199,0,0.6161154749341885,0.6642790869370373,Southeast_Asia,Southeast Asia,LightGBM
region_leaveout_Southeast_Asia,XGBoost,42,0.24993002650952031,0,0.6141545711574741,0,0.6143519901485709,0,0.6161154749341885,0.6642790869370373,Southeast_Asia,Southeast Asia,XGBoost
region_leaveout_Southeast_Asia,SNP-MLP alpha0.40,424344,0.28349087235879056,0.00729932752359469,0.6114851514434543,0.01285807350766116,0.620964310587546,0.02268664638995687,0.6161154749341885,0.6642790869370373,Southeast_Asia,Southeast Asia,SNP-MLP α=0.40
region_leaveout_Southeast_Asia,SNP-MLP alpha0.60,424344,0.29888792253678714,0.0155666274940319,0.5892573759334413,0.00549582913364609,0.6567681871363038,0.01949200836962333,0.6161154749341885,0.6642790869370373,Southeast_Asia,Southeast Asia,SNP-MLP α=0.60
region_leaveout_South_Asia,LightGBM,42,0.25626604469596914,0,0.6063954897087346,0,0.6383491204004514,0,0.6025474988999006,0.7098201286283381,South_Asia,South Asia,LightGBM
region_leaveout_South_Asia,XGBoost,42,0.24207971811163503,0,0.6120332229654223,0,0.6245839509760694,0,0.6025474988999006,0.7098201286283381,South_Asia,South Asia,XGBoost
region_leaveout_South_Asia,SNP-MLP alpha0.40,424344,0.26865874301637127,0.00667049187608162,0.5923738303325096,0.0110272439854504,0.6355557565832176,0.01246241839293947,0.6025474988999006,0.7098201286283381,South_Asia,South Asia,SNP-MLP α=0.40
region_leaveout_South_Asia,SNP-MLP alpha0.60,424344,0.2832723414614845,0.00318107922238515,0.5795613788592759,0.0173976252105376,0.6511527105961635,0.01902417046037147,0.6025474988999006,0.7098201286283381,South_Asia,South Asia,SNP-MLP α=0.60
region_leaveout_East_Asia,LightGBM,42,0.2900275047424736,0,0.5833575035672599,0,0.552976157224815,0,0.4970357431511227,0.7176182390581094,East_Asia,East Asia,LightGBM
region_leaveout_East_Asia,XGBoost,42,0.2826934790766283,0,0.5786116928728894,0,0.5508953882154538,0,0.4970357431511227,0.7176182390581094,East_Asia,East Asia,XGBoost
region_leaveout_East_Asia,SNP-MLP alpha0.40,424344,0.3037463405600133,0.00634702356948194,0.5857514697931687,0.00294730148237212,0.5576576866816801,0.00887480310287753,0.4970357431511227,0.7176182390581094,East_Asia,East Asia,SNP-MLP α=0.40
region_leaveout_East_Asia,SNP-MLP alpha0.60,424344,0.30416623018242234,0.00613849461755261,0.5753078789386549,0.01533892262535851,0.5870085901114376,0.0397483212472786,0.4970357431511227,0.7176182390581094,East_Asia,East Asia,SNP-MLP α=0.60
region_leaveout_Southeast_Asia,RiceGeneFormer gated alpha0.25,424344,0.24381680043679063,0.01064256920457939,0.5625712424686533,0.00648248145232468,0.6416707376648755,9.5386537321772e-4,,,Southeast_Asia,Southeast Asia,RiceGeneFormer
region_leaveout_South_Asia,RiceGeneFormer gated alpha0.25,424344,0.2326555564594688,0.00637576139672943,0.5880558835104289,0.00311086417822947,0.6124065328610783,0.00451828512522826,,,South_Asia,South Asia,RiceGeneFormer
region_leaveout_East_Asia,RiceGeneFormer gated alpha0.25,424344,0.26929343334367384,0.01413862645577868,0.532433056325023,0.01940706330284735,0.608264081255771,0.02750173720554906,,,East_Asia,East Asia,RiceGeneFormer
